,Total Meal Fares,Total Delivery Fees,Total Restaurant Commissions,Total Orders,Marketplace Fee
Restaurant 487,10329.72,1355,3100.14,542,0.300118493
Restaurant 488,5006.79,840,1753.06,336,0.350136515
Restaurant 489,5918.08,105,2071.39,42,0.350010476
Restaurant 490,7293.9,1155,2191.35,462,0.300435981
Restaurant 491,2044.5,352.5,613.35,141,0.3
Restaurant 492,3928,482.5,982.41,193,0.250104379
Restaurant 493,48588.68,4565,14573.92,1826,0.299944761
Restaurant 494,325,60,113.8,24,0.350153846
Restaurant 495,7176.75,1690,1788.34,676,0.249185216
Restaurant 496,638.55,240,224.06,96,0.350888732
Restaurant 497,23219.85,3275,6969.13,1310,0.300136736
Restaurant 498,2776.47,457.5,973.39,183,0.350585456
Restaurant 499,26607.42,3395,7969.52,1358,0.299522464
Restaurant 500,1539.47,367.5,459.17,147,0.298264987
Restaurant 501,10258.284,2582.5,1842.33,1033,0.179594365
Restaurant 502,50524.5,5230,12634.51,2092,0.250066997
Restaurant 503,792.35,232.5,277.41,93,0.350110431
Restaurant 504,9276.65,1142.5,3250.11,457,0.350353845
Restaurant 505,44883.6,5427.5,11215.49,2171,0.249879466
Restaurant 506,27089,2987.5,8136.23,1196,0.300351803
Restaurant 507,10749.72,2465,2151.71,986,0.200164283
Restaurant 508,5224.4,1180,1306.59,472,0.250093791
Restaurant 509,2965.15,392.5,1037.97,157,0.35005649
Restaurant 510,6462,1442.5,1621.32,577,0.25090065
Restaurant 511,822.7,220,247.01,88,0.300243102
Restaurant 512,17111.49,3707.5,5128.12,1483,0.299688689
Restaurant 513,2547.33,327.5,891.7,131,0.3500528
Restaurant 514,7230.75,632.5,1808.11,253,0.250058431
Restaurant 515,3423.2,645,857.7,258,0.250555036
Restaurant 516,514.26,77.5,154.33,31,0.300101116
Restaurant 517,23223.65,2770,5807.19,1108,0.250055009
Restaurant 518,40635.7,7342.5,8589.1,2937,0.211368329
Restaurant 519,4193.04,920,1149.17,368,0.274066071
Restaurant 520,2518.26,557.5,757.15,223,0.300663951
Restaurant 521,11083.4,1922.5,3319.77,769,0.299526319
Restaurant 522,4592.65,865,1376.32,346,0.299678835
Restaurant 523,2445.7,237.5,612.03,95,0.250247373
Restaurant 524,987.4,242.5,246.94,97,0.250091148
Restaurant 525,15058.51,1282.5,3767.54,513,0.250193412
Restaurant 526,2746.7,475,824.36,190,0.300127426
Restaurant 527,9851.94,1682.5,1975.18,674,0.200486402
Restaurant 528,46561.5,4782.5,14015.46,1913,0.301009632
Restaurant 529,31807.22,5917.5,6358.23,2367,0.199898954
Restaurant 530,10.57,2.5,3.7,1,0.350047304
Restaurant 531,71838.21,10332.5,21590.1,4133,0.300537834
Restaurant 532,12083,1382.5,3022.11,553,0.250112555
Restaurant 533,2602.25,290,841.22,116,0.323266404
Restaurant 534,13581.35,1577.5,3393.98,631,0.249900047
Restaurant 535,4757.9,995,1191.28,398,0.250379369
Restaurant 536,2186.1,350,649.08,140,0.29691231
Restaurant 537,111.85,22.5,33.56,9,0.300044703
Restaurant 538,87933.6,10392.5,21976.19,4157,0.249918006
Restaurant 539,2205.35,275,661.88,110,0.300124697
Restaurant 540,9017.1,1030,2255.95,412,0.250185758
Restaurant 541,1675.78,247.5,502.65,99,0.299949874
Restaurant 542,1255,332.5,376.78,133,0.300223108
Restaurant 543,317.74,70,111.21,28,0.350003147
Restaurant 544,3621.7,527.5,1086.56,211,0.300013806
Restaurant 545,70,2.5,21,1,0.3
Restaurant 546,1785.85,125,451.26,50,0.252686396
Restaurant 547,14840.85,1870,3713.8,748,0.250241731
Restaurant 548,19732.2,3052.5,4935.24,1221,0.250110986
Restaurant 549,697.49,270,242.98,108,0.348363417
Restaurant 550,6464.1,262.5,1616.12,105,0.250014697
Restaurant 551,5855.75,1070,1460.69,428,0.249445417
Restaurant 552,40392.8,9677.5,12116.93,3871,0.299977471
Restaurant 553,1287.6,157.5,386.44,63,0.300124262
Restaurant 554,18595.95,1957.5,4652.15,783,0.250170064
Restaurant 555,6864.6,760,1717.71,304,0.250227253
Restaurant 556,24676.95,2807.5,6175.89,1123,0.250269584
Restaurant 557,4885.85,982.5,1466.77,393,0.300207743
Restaurant 558,6842,1205,2052.67,482,0.300010231
Restaurant 559,25183.15,2635,6310.06,1054,0.250566748
Restaurant 560,1870.7,192.5,561.45,77,0.300128294
Restaurant 561,533.4,77.5,133.4,31,0.250093738
Restaurant 562,2373.17,430,479.86,172,0.202202118
Restaurant 563,16269.22,3857.5,4887.34,1543,0.300404076
Restaurant 564,13094.65,3390,3281.01,1356,0.250561107
Restaurant 565,173.8,50,60.85,20,0.350115075
Restaurant 566,2978.2,605,738.39,242,0.247931637
Restaurant 567,69,7.5,24.15,3,0.35
Restaurant 568,25361.75,3485,6338.13,1394,0.249909017
Restaurant 569,651.19,177.5,222.28,71,0.341344308
Restaurant 570,10496.2,740,3148.86,296,0.3
Restaurant 571,4397.4,925,1110.52,370,0.252540137
Restaurant 572,1063.75,165,319.31,66,0.300173913
Restaurant 573,10104.6,1447.5,2538.2,579,0.251192526
Restaurant 574,3883.88,962.5,1360.9,385,0.350397026
Restaurant 575,4018.5,472.5,1406.68,189,0.350051014
Restaurant 576,31644.65,3147.5,7915.83,1259,0.250147497
Restaurant 577,15073,880,3769.01,352,0.250050421
Restaurant 578,6607.5,717.5,1982.25,287,0.3
Restaurant 579,24791.59,5270,7448.07,2108,0.300427282
Restaurant 580,424.35,120,127.41,48,0.300247437
Restaurant 581,2301.1,270,690.6,108,0.300117335
Restaurant 582,9511.9,1457.5,2853.57,583,0.3
Restaurant 583,15427.9,955,4488.33,382,0.290922938
Restaurant 584,9815.15,697.5,2948.25,279,0.300377478
Restaurant 585,1603.16,370,558.67,148,0.348480501
Restaurant 586,1758.1,282.5,617.02,113,0.350958421
Restaurant 587,3096.25,435,1087.47,174,0.351221639
Restaurant 588,2645.45,375,926.02,150,0.350042526
Restaurant 589,97447.35,11537.5,24345.14,4615,0.249828651
Restaurant 590,1596.6,312.5,559.1,125,0.350181636
Restaurant 591,29203.53,5090,5841.03,2036,0.200011095
Restaurant 592,6990.8,975,2093.79,390,0.299506494
Restaurant 593,559.15,50,139.81,20,0.25004024
Restaurant 594,1704.5,252.5,426.74,101,0.25036081
Restaurant 595,12560.55,2727.5,3768.62,1091,0.300036225
Restaurant 596,24729.4,2312.5,6199.82,925,0.250706447
Restaurant 597,11499.2,1412.5,2875.68,565,0.250076527
Restaurant 598,364.61,42.5,109.42,17,0.300101478
Restaurant 599,2513.2,310,754.21,124,0.300099475
Restaurant 600,8247.9,920,2059.6,368,0.249712048
Restaurant 601,274,37.5,82.2,15,0.3
Restaurant 602,16.45,2.5,5.76,1,0.350151976
Restaurant 603,22928.64,1915,5737.75,766,0.2502438
Restaurant 604,7889.38,1617.5,1645.38,647,0.208556312
Restaurant 605,35867.31,4100,8983.29,1640,0.250458983
Restaurant 606,9383.1,1087.5,2816.77,435,0.300196097
Restaurant 607,25476.16,4535,6372,1814,0.250116187
Restaurant 608,77.35,7.5,27.08,3,0.350096962
Restaurant 609,11760.5,545,2940.7,218,0.250048892
Restaurant 610,413.69,120,144.83,48,0.350093065
Restaurant 611,5276.1,1137.5,1845.75,455,0.349832262
Restaurant 612,13972.7,1322.5,4191.81,529,0.3
Restaurant 613,2276.7,280,789.58,112,0.346808978
Restaurant 614,10,2.5,2.5,1,0.25
Restaurant 615,8636.15,1062.5,2162.78,425,0.250433353
Restaurant 616,376.43,57.5,131.77,23,0.350051802
Restaurant 617,5318.55,687.5,1596.31,275,0.300140076
Restaurant 618,66284.6,6987.5,16580.28,2795,0.250137739
Restaurant 619,2730.37,737.5,955.68,295,0.350018496
Restaurant 620,23428.9,750,9894.69,300,0.422328406
Restaurant 621,6280.98,1667.5,2512.96,667,0.400090432
Restaurant 622,526.6,57.5,157.98,23,0.3
Restaurant 623,1749.6,265,525.31,106,0.30024577
Restaurant 624,1657.83,465,331.63,186,0.200038605
Restaurant 625,1445.4,267.5,433.93,107,0.300214474
Restaurant 626,3330.12,297.5,837.27,119,0.251423372
Restaurant 627,18250.3,2217.5,4560.36,887,0.249878632
Restaurant 628,13544.4,2210,4062.82,884,0.299963084
Restaurant 629,27122.17,3940,9459.75,1576,0.348782933
Restaurant 630,2471.4,385,865.1,154,0.350044509
Restaurant 631,32378.26,4185,9714.77,1674,0.300039903
Restaurant 632,3715.18,857.5,1297.6,343,0.349269753
Restaurant 633,1002.81,305,200,122,0.199439575
Restaurant 634,108613.02,18620,32546.81,7448,0.299658457
Restaurant 635,2280.35,227.5,684.36,91,0.300111825
Restaurant 636,4754.7,592.5,1430.06,237,0.300767661
Restaurant 637,43145.7,7820,9095.13,3128,0.210800381
Restaurant 638,3830.68,457.5,1152.01,183,0.300732507
Restaurant 639,1565.3,215,469.59,86,0.3
Restaurant 640,1543.76,240,463.23,96,0.300066072
Restaurant 641,44.85,7.5,15.71,3,0.350278707
Restaurant 642,10,2.5,3.5,1,0.35
Restaurant 643,3375.4,565,844.23,226,0.250112579
Restaurant 644,1763.1,220,617.18,88,0.350053882
Restaurant 645,4938.78,1100,1729.19,440,0.35012493
Restaurant 646,4641.15,712.5,1624.68,285,0.350059791
Restaurant 647,16557.25,1840,4964.14,736,0.299816697
Restaurant 648,1477.25,172.5,517.12,69,0.350055847
Restaurant 649,441.5,80,132.45,32,0.3
Restaurant 650,2288.3,120,686.49,48,0.3
Restaurant 651,686.05,107.5,240.19,43,0.350105677
Restaurant 652,2992.84,620,1047.81,248,0.350105585
Restaurant 653,44836.8,4190,11222.22,1676,0.250290386
Restaurant 654,33086.3,3085,8275.76,1234,0.250126487
Restaurant 655,3930.32,1265,1371.25,506,0.348890167
Restaurant 656,18431.45,2320,5539.76,928,0.300560184
Restaurant 657,18385.2,1467.5,4596.15,587,0.249991841
Restaurant 658,1074.25,125,376,50,0.350011636
Restaurant 659,5475.15,767.5,1622.76,307,0.2963864
Restaurant 660,3512.5,722.5,1230.34,289,0.350274733
Restaurant 661,270.45,42.5,81.19,17,0.300203365
Restaurant 662,1629.05,405,488.8,162,0.300052178
Restaurant 663,2854,335,998.9,134,0.35
Restaurant 664,10094.45,1025,2524.29,410,0.250067116
Restaurant 665,6011.3,1062.5,1202.26,425,0.2
Restaurant 666,1129.57,140,395.4,56,0.350044707
Restaurant 667,2973.9,737.5,893.69,295,0.300511113
Restaurant 668,293.8,42.5,102.88,17,0.350170184
Restaurant 669,554.91,142.5,221.96,57,0.399992792
Restaurant 670,3139.78,737.5,863.34,295,0.27496831
Restaurant 671,37.5,5,7.5,2,0.2
Restaurant 672,5704.49,1435,1027.25,574,0.180077448
Restaurant 673,6039.79,1085,1812.01,434,0.300012087
Restaurant 674,2876.69,692.5,1001.57,277,0.348167512
Restaurant 675,28233.75,2750,7054.19,1100,0.249849559
Restaurant 676,3159.93,640,1107.01,256,0.350327381
Restaurant 677,46725,11272.5,11695.43,4509,0.250303478
Restaurant 678,48.22,7.5,14.46,3,0.29987557
Restaurant 679,1389.75,185,486.52,74,0.350077352
Restaurant 680,1745.5,427.5,525.88,171,0.301277571
Restaurant 681,1771,192.5,531.3,77,0.3
Restaurant 682,16564.5,3162.5,4147.52,1265,0.250386067
Restaurant 683,9505.35,1127.5,2846.7,451,0.299483975
Restaurant 684,10023.55,1470,3008.81,588,0.30017409
Restaurant 685,6195.6,792.5,2168.71,317,0.350040351
Restaurant 686,256.2,75,76.86,30,0.3
Restaurant 687,10238.7,1152.5,2572.14,461,0.25121744
Restaurant 688,2310.6,307.5,808.81,123,0.350043279
Restaurant 689,2847.75,470,854.33,188,0.300001756
Restaurant 690,3612.65,880,1083.83,352,0.300009688
Restaurant 691,14055,917.5,3504.96,367,0.2493746
Restaurant 692,686.9,135,240.53,54,0.350167419
Restaurant 693,3264.99,517.5,1142.96,207,0.350065391
Restaurant 694,700.65,82.5,221.53,33,0.316177835
Restaurant 695,639.4,62.5,223.82,25,0.350046919
Restaurant 696,15937.65,2015,5579.01,806,0.350052235
Restaurant 697,3155.83,537.5,1104.75,215,0.350066385
Restaurant 698,158.95,72.5,55.63,29,0.349984272
Restaurant 699,23.3,10,8.15,4,0.349785408
Restaurant 700,19281.7,1805,4851.75,722,0.251624597
Restaurant 701,137152.8,16797.5,34291.26,6719,0.250022311
Restaurant 702,4799.65,525,1200.22,210,0.250064067
Restaurant 703,49502.5,5622.5,12388.89,2249,0.250267966
Restaurant 704,5084.45,992.5,1014.67,397,0.199563375
Restaurant 705,7063.8,797.5,1764.3,319,0.249766415
Restaurant 706,12171.02,1615,3645.35,646,0.299510641
Restaurant 707,14482.35,1600,3621.83,640,0.250085794
Restaurant 708,12010.8,1475,3607.86,590,0.300384654
Restaurant 709,2184.75,315,764.8,126,0.350062936
Restaurant 710,56440.4,7225,16934.58,2890,0.300043586
Restaurant 711,44.5,7.5,11.13,3,0.25011236
Restaurant 712,832.6,190,249.85,76,0.300084074
Restaurant 713,49772.2,4702.5,12436.68,1881,0.249872017
Restaurant 714,21476.45,3485,8558.62,1394,0.398511858
Restaurant 715,2549.05,502.5,892.59,201,0.350165748
Restaurant 716,679.93,160,238.05,64,0.35010957
Restaurant 717,4378.48,965,1095.27,386,0.250148453
Restaurant 718,511.4,62.5,179.02,25,0.350058662
Restaurant 719,3075.26,397.5,1077.02,159,0.350220794
Restaurant 720,2865.1,605,596.88,242,0.208327807
Restaurant 721,2958,675,732.71,270,0.24770453
Restaurant 722,34591.5,4457.5,10379.5,1783,0.300059263
Restaurant 723,31247,2942.5,7813.58,1177,0.250058566
Restaurant 724,2715.15,582.5,814.71,233,0.30006077
Restaurant 725,11237.5,1467.5,2810.15,587,0.250068966
Restaurant 726,193.21,75,64.1,30,0.331763366
Restaurant 727,17973.74,5900,7186.5,2360,0.399833312
Restaurant 728,384.11,105,134.53,42,0.350238213
Restaurant 729,907.8,122.5,317.86,49,0.350143203
Restaurant 730,1063.05,125,265.86,50,0.250091717
Restaurant 731,8275.77,1505,2482.55,602,0.299978129
Restaurant 732,6858.35,1075,2057.61,430,0.30001531
Restaurant 733,23636.5,4107.5,5908.72,1643,0.249982865
Restaurant 734,808.55,165,202.25,66,0.250139138
Restaurant 735,16879,2235,4222.27,894,0.250149298
Restaurant 736,21941.62,5370,3945.9,2148,0.179836311
Restaurant 737,5429.76,1377.5,1901.76,551,0.350247525
Restaurant 738,2438.25,485,733.55,194,0.30085102
Restaurant 739,2309.91,217.5,808.59,87,0.350052599
Restaurant 740,52420.8,7810,18339.31,3124,0.349847961
Restaurant 741,15140.7,1852.5,4550.91,741,0.30057461
Restaurant 742,12545.45,1247.5,3766.42,499,0.300221993
Restaurant 743,760.4,297.5,265.57,119,0.349250395
Restaurant 744,1323.45,165,476.45,66,0.360006045
Restaurant 745,13283.6,2392.5,3313.14,957,0.249415821
Restaurant 746,10971.5,1037.5,2743.92,415,0.250095247
Restaurant 747,934.05,135,326.98,54,0.350066913
Restaurant 748,3715.05,480,1300.56,192,0.350078734
Restaurant 749,14424.1,1440,4245.68,576,0.294346268
Restaurant 750,660.15,97.5,231.09,39,0.350056805
Restaurant 751,1158.69,225,289.81,90,0.250118668
Restaurant 752,10282.8,1220,3600.5,488,0.35014782
Restaurant 753,8763,985,2191.81,394,0.250120963
Restaurant 754,2317.8,362.5,927.12,145,0.4
Restaurant 755,24553.75,2430,6139.38,972,0.250038385
Restaurant 756,14365.37,1917.5,3588.25,767,0.249784725
Restaurant 757,89653.85,13182.5,22448.02,5273,0.250385455
Restaurant 758,14582.4,1217.5,3646.22,487,0.250042517
Restaurant 759,7030.55,1022.5,2456.54,409,0.349409363
Restaurant 760,41838.89,8290,12556.88,3316,0.300124597
Restaurant 761,16534.1,2437.5,4962.42,975,0.300132454
Restaurant 762,5498.8,757.5,1925.4,303,0.350149123
Restaurant 763,35,7.5,12.25,3,0.35
Restaurant 764,15867.45,1860,4760.46,744,0.30001418
Restaurant 765,1522,180,456.6,72,0.3
Restaurant 766,11122.36,2255,3890.37,902,0.349779184
Restaurant 767,4203,702.5,1259.25,281,0.299607423
Restaurant 768,1306.61,505,425.07,202,0.325322782
Restaurant 769,1772.2,247.5,531.68,99,0.300011285
Restaurant 770,2822.5,295,846.75,118,0.3
Restaurant 771,1522.05,277.5,532.99,111,0.350179035
Restaurant 772,140479.91,16852.5,41331.64,6741,0.294217444
Restaurant 773,10623.05,1950,3184.37,780,0.299760427
Restaurant 774,15171,2847.5,3801.6,1139,0.25058335
Restaurant 775,45440,5905,11386.38,2362,0.250580546
Restaurant 776,3150.5,902.5,1103.46,361,0.350249167
Restaurant 777,2377.01,480,832.43,192,0.350200462
Restaurant 778,11124,1457.5,3337.2,583,0.3
Restaurant 779,9982.45,1950,2997.64,780,0.300291011
Restaurant 780,1218.35,132.5,365.64,53,0.300110806
Restaurant 781,14617.43,1912.5,4384.34,765,0.299939182
Restaurant 782,7360.5,887.5,2208.15,355,0.3
Restaurant 783,1004.42,200,351.67,80,0.350122459
Restaurant 784,2330.5,215,812.73,86,0.348736323
Restaurant 785,108104,15095,27036.28,6038,0.250095094
Restaurant 786,78952.91,9662.5,23133.54,3865,0.293004273
Restaurant 787,250.25,35,62.58,14,0.25006993
Restaurant 788,3706.82,977.5,1112.6,391,0.300149454
Restaurant 789,1989.5,255,597.45,102,0.300301583
Restaurant 790,5262.3,842.5,1316.04,337,0.250088364
Restaurant 791,83,7.5,24.9,3,0.3
Restaurant 792,3481.1,805,1218.72,322,0.350096234
Restaurant 793,9090.44,2422.5,3176.87,969,0.349473733
Restaurant 794,2535.3,390,887.74,156,0.350151856
Restaurant 795,36825.38,1162.5,11016.52,465,0.299155637
Restaurant 796,509.19,122.5,178.34,49,0.350242542
Restaurant 797,224,20,56.02,8,0.250089286
Restaurant 798,4390.35,757.5,1318.2,303,0.300249411
Restaurant 799,17251.75,2025,5181.52,810,0.300347501
Restaurant 800,7661.08,1412.5,2295.08,565,0.299576561
Restaurant 801,3608.08,400,1262.94,160,0.350031041
Restaurant 802,485.95,87.5,145.8,35,0.300030867
Restaurant 803,39289.2,5390,9829.5,2156,0.250183256
Restaurant 804,23955.4,2975,5999.67,1190,0.250451673
Restaurant 805,23674.6,2602.5,7102.7,1041,0.300013517
Restaurant 806,1541.25,137.5,462.39,55,0.300009732
Restaurant 807,2736.4,300,958.26,120,0.350190031
Restaurant 808,6913.9,722.5,1729.3,289,0.250119325
Restaurant 809,7802.3,1270,2339.06,508,0.299791087
Restaurant 810,6001.7,712.5,1802.04,285,0.300254928
Restaurant 811,1714.1,207.5,514.49,83,0.300151683
Restaurant 812,1939.2,307.5,581.76,123,0.3
Restaurant 813,1567.56,222.5,444.19,89,0.283363954
Restaurant 814,15267.05,2530,4575.57,1012,0.2997023
Restaurant 815,31783.85,5880,9547.47,2352,0.300387461
Restaurant 816,476.5,70,166.79,28,0.35003148
Restaurant 817,23777.4,3507.5,7125.46,1403,0.29967364
Restaurant 818,1224.55,142.5,367.51,57,0.300118411
Restaurant 819,6858.7,1430,1716.85,572,0.250317115
Restaurant 820,2895.5,412.5,724.16,165,0.250098429
Restaurant 821,1354.5,112.5,338.72,45,0.250070137
Restaurant 822,64714.04,9397.5,16191.72,3759,0.250204129
Restaurant 823,17792.2,2450,4461.68,980,0.250766066
Restaurant 824,40.7,7.5,14.26,3,0.35036855
Restaurant 825,58145.75,8157.5,14548,3263,0.250198854
Restaurant 826,31743.35,4110,9525.75,1644,0.300086475
Restaurant 827,12923.5,1675,4518.37,670,0.349624328
Restaurant 828,6742.48,1650,1212.45,660,0.179822558
Restaurant 829,3653.5,527.5,1096.05,211,0.3
Restaurant 830,8392.81,907.5,2518.76,363,0.30010926
Restaurant 831,4132.6,552.5,1035.2,221,0.250496056
Restaurant 832,1986.26,317.5,496.79,127,0.250113278
Restaurant 833,89.15,7.5,31.21,3,0.350084128
Restaurant 834,16943.5,2417.5,5093.66,967,0.300626199
Restaurant 835,3371.06,677.5,1008.25,271,0.299089901
Restaurant 836,9475.6,1812.5,2367.07,725,0.249806872
Restaurant 837,12732.55,1555,3183.91,622,0.250060671
Restaurant 838,3008.5,300,748.99,120,0.248957952
Restaurant 839,1983.65,237.5,600.66,95,0.302805434
Restaurant 840,5385.11,902.5,1885.29,361,0.350093127
Restaurant 841,1010.2,105,253.3,42,0.250742427
Restaurant 842,4162,445,1249.34,178,0.300177799
Restaurant 843,1313.35,152.5,395.31,61,0.300993642
Restaurant 844,14942.2,2015,3732.21,806,0.249776472
Restaurant 845,18716.5,2095,5615.55,838,0.300032057
Restaurant 846,64.6,15,16.14,6,0.249845201
Restaurant 847,9482,2202.5,2844.6,881,0.3
Restaurant 848,21466.75,2570,5369.29,1028,0.250121234
Restaurant 849,12240.5,1265,3672.15,506,0.3
Restaurant 850,35.75,7.5,10.72,3,0.29986014
Restaurant 851,10940.08,985,2742.35,394,0.250670013
Restaurant 852,27072.2,4027.5,6781.95,1611,0.250513442
Restaurant 853,8650.21,2240,2165.94,896,0.250391609
Restaurant 854,28473.54,4765,8558.72,1906,0.300585034
Restaurant 855,568.65,130,173,52,0.304229315
Restaurant 856,8117.3,1582.5,1624.11,633,0.200080076
Restaurant 857,2107.15,377.5,737.73,151,0.350107966
Restaurant 858,19857.3,2790,4238.26,1116,0.213435865
Restaurant 859,3993.68,847.5,1195.92,339,0.299453136
Restaurant 860,12237.65,1647.5,3671.48,659,0.300015117
Restaurant 861,1783.99,357.5,579.76,143,0.3249794
Restaurant 862,12772,1517.5,2700.38,607,0.21142969
Restaurant 863,7579.09,965,2275.44,386,0.300226017
Restaurant 864,7037.1,1367.5,2463.86,547,0.350124341
Restaurant 865,3902.47,520,1367.67,208,0.350462656
Restaurant 866,7514.56,847.5,2245.73,339,0.298850498
Restaurant 867,40327,4987.5,12094.08,1995,0.299900315
Restaurant 868,1174.4,182.5,411.17,73,0.350110695
Restaurant 869,5.49,2.5,1.92,1,0.349726776
Restaurant 870,59058.95,12057.5,14771.85,4823,0.250120431
Restaurant 871,10241.54,1502.5,3073.45,601,0.30009647
Restaurant 872,800.5,120,274.66,48,0.343110556
Restaurant 873,3824.5,397.5,956.34,159,0.250056216
Restaurant 874,1595.8,155,478.86,62,0.300075197
Restaurant 875,4444.78,515,1330.72,206,0.299389396
Restaurant 876,15.66,7.5,5.48,3,0.349936143
Restaurant 877,25.85,5,9.05,2,0.350096712
Restaurant 878,4464.25,585,1342.54,234,0.300731366
Restaurant 879,5999.2,865,1500.5,346,0.250116682
Restaurant 880,7454.66,1340,2614.12,536,0.350669246
Restaurant 881,1114.5,152.5,390.24,61,0.350148048
Restaurant 882,1755.1,240,614.46,96,0.350099709
Restaurant 883,532.54,187.5,183.09,75,0.34380516
Restaurant 884,67365.35,11352.5,16842.62,4541,0.250019038
Restaurant 885,1751,227.5,525.3,91,0.3
Restaurant 886,13976.6,1650,4194.26,660,0.300091582
Restaurant 887,3954,277.5,1188.6,111,0.30060698
Restaurant 888,3176.1,610,953.45,244,0.300195208
Restaurant 889,5222.88,565,1828.4,226,0.350075054
Restaurant 890,29914.95,3217.5,7491.53,1287,0.250427629
Restaurant 891,3599,742.5,900.61,297,0.250238955
Restaurant 892,815.91,275,163.21,110,0.200034318
Restaurant 893,30333.08,4072.5,7581.09,1629,0.249928131
Restaurant 894,622.8,52.5,186.84,21,0.3
Restaurant 895,3700.85,467.5,1103.35,187,0.298134212
Restaurant 896,2123.1,585,633.81,234,0.298530451
Restaurant 897,4177.75,507.5,1047.33,203,0.250692358
Restaurant 898,46291.25,4907.5,11650.35,1963,0.251674993
Restaurant 899,1001.5,280,350.76,112,0.350234648
Restaurant 900,2243.5,320,673.05,128,0.3
Restaurant 901,5263.5,567.5,1588.05,227,0.301709889
Restaurant 902,1503.55,177.5,369.69,71,0.245878089
Restaurant 903,34350.99,5115,10317.74,2046,0.300362231
Restaurant 904,3065.59,405,920.1,162,0.300137983
Restaurant 905,13537.8,1377.5,4082.61,551,0.301571156
Restaurant 906,5355.05,662.5,1339.14,265,0.250070494
Restaurant 907,3694.1,675,924,270,0.250128583
Restaurant 908,907.55,110,317.75,44,0.350118451
Restaurant 909,14693.21,1582.5,4408.88,633,0.30006241
Restaurant 910,230.55,60,80.72,24,0.35011928
Restaurant 911,3291,427.5,987.53,171,0.300069888
Restaurant 912,7264,1310,1816.44,524,0.250060573
Restaurant 913,278.5,40,97.5,16,0.350089767
Restaurant 914,3338.4,707.5,666.96,283,0.199784328
Restaurant 915,26666.86,2717.5,6666.52,1087,0.249992688
Restaurant 916,22014.95,1317.5,6379.4,527,0.289775811
Restaurant 917,12223.75,1170,3064.62,468,0.250710298
Restaurant 918,19549.87,2340,5859.74,936,0.299732939
Restaurant 919,4476.61,1080,1564.56,432,0.349496606
Restaurant 920,4892.1,772.5,1223.61,309,0.250119581
Restaurant 921,4448.22,752.5,1532.72,301,0.344569288
Restaurant 922,15344.15,937.5,4601.5,375,0.299886276
Restaurant 923,9737.3,1707.5,2183.83,683,0.224274696
Restaurant 924,86.8,15,30.4,6,0.350230415
Restaurant 925,9093.4,907.5,2273.86,363,0.250056085
Restaurant 926,11471.8,1835,2875.49,734,0.250657264
Restaurant 927,59.5,10,20.84,4,0.350252101
Restaurant 928,27654.35,3187.5,6916.23,1275,0.250095555
Restaurant 929,2719.93,515,949.96,206,0.349258988
Restaurant 930,1589.13,435,435.6,174,0.27411225
Restaurant 931,112.44,90,36.53,36,0.324884383
Restaurant 932,1272.7,142.5,381.95,57,0.300110002
Restaurant 933,31989.95,4552.5,8000.01,1821,0.250078853
Restaurant 934,8125.9,1260,2433.57,504,0.299483134
Restaurant 935,61196.4,8090,18367.41,3236,0.300138734
Restaurant 936,242.3,50,72.77,20,0.300330169
Restaurant 937,10513,2185,2624.08,874,0.249603348
Restaurant 938,49402.5,6900,14823.69,2760,0.300059511
Restaurant 939,13977.95,872.5,4193.86,349,0.300033982
Restaurant 940,16741.9,1632.5,4187.62,653,0.250128122
Restaurant 941,1459.1,125,510.82,50,0.350092523
Restaurant 942,2804,437.5,981.76,175,0.350128388
Restaurant 943,584,160,146.13,64,0.250222603
Restaurant 944,5813.05,560,1453.69,224,0.250073541
Restaurant 945,745.3,210,204.9,84,0.27492285
Restaurant 946,8685.1,1570,3474.04,628,0.4
Restaurant 947,11593.35,1437.5,2912.56,575,0.251226781
Restaurant 948,2762.54,435,966.99,174,0.350036561
Restaurant 949,24105.35,3962.5,6028.69,1585,0.250097592
Restaurant 950,40426.25,4637.5,10107.6,1855,0.250025664
Restaurant 951,1116.75,102.5,390.96,41,0.350087307
Restaurant 952,12466.5,1650,2707.91,660,0.217214936
Restaurant 953,6297.75,867.5,1892.13,347,0.300445397
Restaurant 954,10565.2,1892.5,3700.32,757,0.350236626
Restaurant 955,60843.85,5735,15210.13,2294,0.249986317
Restaurant 956,1334.91,160,400.64,64,0.300125102
Restaurant 957,39.5,5,11.85,2,0.3
Restaurant 958,2908.5,520,727.18,208,0.25001891
Restaurant 959,34829.53,6070,10430.4,2428,0.299470019
Restaurant 960,7323.9,1072.5,1831.61,429,0.250086702
Restaurant 961,2212.3,412.5,768.12,165,0.347204267
Restaurant 962,12561.2,1690,3141.52,676,0.250097124
Restaurant 963,86.65,22.5,21.68,9,0.250201962
Restaurant 964,322.9,37.5,80.73,15,0.250015485
Restaurant 965,51823.8,5702.5,12971.1,2281,0.250292337
Restaurant 966,1309.55,272.5,393.32,109,0.300347448
Restaurant 967,7463.15,672.5,1866.2,269,0.250055272
Restaurant 968,448.6,57.5,157.04,23,0.350066875
Restaurant 969,3794.55,360,1138.67,144,0.300080378
Restaurant 970,5632.55,1317.5,1684.79,527,0.299116741
Restaurant 971,3474,600,880.31,240,0.253399539
Restaurant 972,195.5,20,48.9,8,0.250127877
